player ID, trial, timestamp, x, y, z, rotx, roty, rotz
elz13,1,0.01135772,-39.9,1.08,-58.9,0,-0.7305278,0
elz13,1,0.01500102,-43.2977,1.08,-57.74728,0,-0.488495,0
elz13,1,0.01984154,-45.41948,1.08,-51.09565,0,0.3719623,0
elz13,1,0.02352456,-44.56969,1.08,-41.77629,0,0.4564872,0
elz13,1,0.02672928,-41.5311,1.08,-29.98383,0,0.1171923,0
elz13,1,0.03186436,-42.6945,1.08,-24.54846,0,0.09578875,0
elz13,1,0.03535161,-43.60841,1.08,-19.16859,0,0.07528996,0
elz13,1,0.0394472,-44.2462,1.08,-13.88587,0,0.07152076,0
elz13,1,0.04503747,-45.30144,1.08,-8.449149,0,0.1112841,0
elz13,1,0.05209401,-46.4337,1.08,-3.064409,0,-0.05354796,0
elz13,1,0.05688357,-47.82323,1.08,3.038489,0,-0.1847858,0
elz13,1,0.06242179,-47.65601,1.08,9.982968,0,-0.3179011,0
elz13,1,0.06702501,-46.54754,1.08,18.99264,0,-0.5214348,0
elz13,1,0.07005225,-46.3658,1.08,25.40209,0,0.07519201,0
elz13,1,0.07393941,-47.23802,1.08,30.86752,0,-0.08457557,0
elz13,1,0.07754658,-46.9789,1.08,36.15887,0,0.02050163,0
elz13,1,0.08433244,-45.40339,1.08,41.88638,0,0.1196165,0
elz13,1,0.08819727,-44.21,1.08,48.20609,0,0.2009137,0
elz13,1,0.09425049,-43.9159,1.08,54.38176,0,0.2754928,0
elz13,1,0.09744545,-44.93539,1.08,60.46902,0,-0.3964109,0
elz13,1,0.1038293,-36.49628,1.08,62.04453,0,-0.9269156,0
elz13,1,0.1098307,-28.04842,1.08,64.31844,0,-0.8919642,0
elz13,1,0.1137609,-19.95806,1.08,64.25368,0,-0.9341738,0
elz13,1,0.1190971,-13.11783,1.08,63.57333,0,-0.7952572,0
elz13,1,0.1261525,-6.030912,1.08,65.633,0,-0.9142926,0
elz13,1,0.129519,1.403424,1.08,66.11411,0,-0.8703938,0
elz13,1,0.1344347,6.185744,1.08,63.46406,0,-0.8822574,0
elz13,1,0.1389651,7.537326,1.08,57.77715,0,-0.9950085,0
elz13,1,0.143142,9.137699,1.08,47.43815,0,-0.7951068,0
elz13,1,0.1489326,10.01774,1.08,40.32743,0,-0.9979548,0
elz13,1,0.1536918,11.07563,1.08,34.20105,0,-0.8900974,0
elz13,1,0.1578128,15.73557,1.08,32.68361,0,-0.5367414,0
elz13,1,0.1630476,21.42076,1.08,31.46039,0,-0.8045766,0
